text,preprocessed_text,prediction,sentiment
Mid journey is not free from now,mid journey negator free,0.014420956,0
Thank you for this video,thank video,0.9646495,1
"Mate. If your going to get an AI to read your script, get one to check your grammar.",mate going get ai read script get one check grammar,0.58860403,1
Just played with this and found out it&#39;s already pollical motivated. I could not make something I wanted and spent all my coins on it. Also this is no where near the level of Midjourney so your advice is also crap.,played found its already polical motivated could negator make something wanted spent intensifier coin also negator near level midjourney intensifier advice also crap,0.7018123,1
For who ask i Create the Spider-Man in the image AND i have the pront if enyone want to do some similar things. :),ask create spiderman image pront enyone want similar thing positive,0.8031428,1
who are you? my dad?,dad,0.4489628,0
U are  using ai voice and subtitles right!,you using ai voice subtitle right,0.6551946,1
The competition is tight 😂,competition tight,0.69337326,1
thank you! i am just getting into ai art. this video was very helpful,thank intensifier getting ai art video intensifier helpful,0.053074926,0
"Well, it seems that the videos are also made through the AI",well seems video also made ai,0.087199174,0
Which one of them is free?,one free,0.09161058,0
you said: 150 generations per day. so when will this get renewed? cause I didn&#39;t get it renewed after 24 h,sainegative generation per day intensifier get renewed cause didnt get renewed h,0.5233489,1
Top reason why Midjourney is MID and actually MIDjourney,top reason midjourney mid actually midjourney,0.07352233,0
is it free ?,free,0.3503426,0
"Nah, sorry man, not good video.",nah sorry man negator good video,0.92959476,1
Too many god damn steps. No thank you smh.,many god damn step thank smh,0.9501358,1
Is this TTS?,tt,0.58187395,1
but why the hell did you zoomed in the video that much :(,hell zoomed video much negative,0.3039109,0
bro you messed up the last pic you can do better,bro messed last pic better,0.7878346,1
"Cool, how much is it?",cool much,0.026966028,0
"Nah....Who needs this? Not that 10 dollars a month is that big of a price for 3 hours of professionally looking art.....So I better stick with Midjourney 5 and Nijijourney 5 (A new model for a styalized art, as powerful as Novel AI) than go back to this Midjourney 2-3 look this new tool provides...<br>Nothing can compete with Midjourney.....<br>At least Midjourney doesn&#39;t requite walls of text + negative prompts in order to give something decent",nah multistop need dollar month big price hour professionally looking art multistop better stick midjourney nijourney a new model styalized art powerful novel ai go back midjourney look new tool provides multistop brnothing compete midjourney multistop brat least midjourney doesnt requite wall text negative prompt order give something decent,0.17377752,0
I filled out the whitelist form on April 10th and still no access.,filled whitelist form april th still negator access,0.7736002,1
Hmmm,STRESSED hm,0.25615242,0
"super cool tool, great video, but that last example didn&#39;t work lmao what are you talking about",intensifier cool tool great video last example didnt work laugh my as of talking,0.20697078,0
"It only make square.<br>Not able to change camera direction, lens, distance, angle….etc.<br>Alway portrait close up shot.",make square brnot able change camera direction lens distance angle etc bralway portrait close shot,0.11023508,0
I still use stable diffusion...,still use stable diffusion multistop,0.894685,1
Anyone know an Ai generator with no restrictions?,anyone know ai generator negator restriction,0.40871948,0
No way it has more features.,intensifier intensifier feature,0.43877536,0
Thank you for sharing this information. It will take a few days to gain access. I&#39;m sure it&#39;s worth the wait.,thank sharing information take day gain access im sure its worth wait,0.34544373,0
"Midjourney V5 i think beats this in terms of quality, the pictures in Midjourney are way way better but this is really really good, Leonardo has options like Stable Diffusion.<br><br> i think stable diffusion is good at communicating what you really want to an extent but i to be honest, Leonardo is pretty similar to both , it&#39;s sits kinda in the middle between the two, and it also completely free per day and doesn&#39;t use Your PC GPU or anything, and i like that it has a community that you can look for prompt/negative prompt reference for, you just look for something that is similar to the field you want the image to be and you can even make a rough sketch to what you envision on SAI or photoshop and past it, get a model and the prompts and everything , and have fun with the sittings.<br><br>i think this is Way more accessible and free to an extent, it&#39;s really good for novice and new people into AI Art like me, but if i had to pick between stable diffusion or Leonardo, i&#39;ll 100% go to stable diffusion because i&#39;m into anime, even though you can make anime like pictures in Leonardo, i think the freedom you know the extension, you know better Controlnet and stuff on stable diffusion, it&#39;s unmatchable to be honest, you can even train your own model and i think for anime and better communication with the AI over all, Stable diffusion works, but this doesn&#39;t fall behind it at all it&#39;s actually great for casual people who have just started experimenting with AI Art and also for people to look for some concepts for their art/ai art, it also has other cool features besides the normal generate pictures, like blending pictures and stuff but i think it&#39;s pretty good for looking for concepts for your art.<br><br> If i had access to stable diffusion by using a good pc and also unlimited access to Leonardo here is what i&#39;ll do:<br>you make a sketch and you put it on Leonardo with some prompts , generate for 15min or so look for some good reference, then take the picture and put it on stable diffusion for a bit more of adjustments, having some extra knowledge about image editing can help before putting it on stable diffusion and then i think the result should be really good at the end and almost like 60% or more of how you envisioned your picture.",midjourney v think beat term quality picture midjourney intensifier intensifier better intensifier intensifier good leonardo option like stable diffusion STRESSED br think stable diffusion good communicating intensifier want disher honest leonardo pretty similar its sits kinda middle two also intensifier free per day doesnt use pc gpu anything like community look promptnegative prompt reference intensifier look something similar field want image even make rough sketch envision sai phoshop past get model prompt everything fun sitting bri think way intensifier accessible free extent its intensifier good novice new people ai art like pick stable diffusion leonardo ill go stable diffusion im anime even though make anime like picture leonardo think freedom know extension know better controlnet stuff stable diffusion its unmatchable honest even train model think anime better communication ai stable diffusion work doesnt fall behind intensifier its actually great casual people intensifier started eposiverimenting ai art also people look concept artai art also cool feature besides normal generate picture like blending picture stuff think its pretty good looking concept art STRESSED br access stable diffusion using good pc also unlimited access leonardo ill dobryou make sketch put leonardo prompt generate min intensifier look good reference take picture put stable diffusion disher intensifier adjustment extra knowledge image editing help putting stable diffusion think result intensifier good end intensifier like intensifier envisioned picture,0.17410368,0
AI art lmfao art created by AI shouldn&#39;t be called art,ai art lmfao art created ai shouldnt called art,0.12770697,0
since when leonardo ai is free?? lol,since leonardo ai free multiquestion laugh out loud,0.08982672,0
Server is full,server full,0.9695316,1
Server is full :(,server full negative,0.9149726,1
server is full on leonardo,server full leonardo,0.94020855,1
Bro it&#39;s server is currently full what can I do ?,bro its server currently full,0.9902685,1
Do you get commercial use though?,get commercial use though,0.8796509,1
It&#39;s not free. It uses tokens and you only get 150 tokens.,its negator free us token get token,0.5255869,1
"Wow, that was amazing, I love the merging features, it was mind boggling.",wow amazing love merging feature mind boggling,0.6507763,1
lol the server is already full with members,laugh out loud server already full member,0.8339449,1
Server is full,server full,0.9695316,1
Why not list your newly created AI images in the NFT marketplace from Sokuswap? They have a feature called refer a NFT and get a bonus for that.,negator list newly created ai image nft marketplace sokuswap feature called refer nft get bonus,0.50809807,1
midjourney still blows this out of the water for generation but i love the options this gives us. the training is pretty interesting,midjourney still blow water generation love option give you training pretty interesting,0.75794613,1
"the server is full, cannot join discord",server full negator join discord,0.16911416,0
Now pause if this didn&#39;t blow your mind pause this will surely pause do.,pause didnt blow mind pause surely pause,0.52304614,1
"they need to make 2nd server, other one is full",need make nd server one full,0.86312544,1
"How did you edit this video, I mean the subtitle, slide show of video clip nd how did you mix the ai audio perfectly with video🎉🎉🎉🎉",edit video mean subtitle slide show video clip nd mix ai audio intensifier video,0.84848416,1
it&#39;s full ! i cant join this server btw thanks for share,its full cant join server by the way thanks share,0.22026108,0
its full,full,0.76794195,1
Their discord is full holy shit,discord full holy shit,0.37681976,0
Server full,server full,0.9695316,1
"that is very very nice, and such wonderful ideas",intensifier intensifier nice intensifier wonderful idea,0.012942695,0
server full :&lt;,server full lt,0.9704382,1
it tells me that the server is momentarily full.... how can i get in ???,tell server momentarily full multistop get multiquestion,0.8681868,1
Discord is full,discord full,0.8922517,1
server full,server full,0.9695316,1
I am Using Adobe Firefly :⁠-⁠) <br>It&#39;s amazing 🤩,using adobe firefly brits amazing,0.9664597,1
Discord says its full😩,discord say full,0.6653833,1
the server is full huhuu,server full hu,0.9236876,1
Thanks again . Good job!,thanks good job,0.8573354,1
&quot;art&quot;.,quotartquot,0.4859122,0
I use Dalle 2 which is better.,use STRESSED dale better,0.018909441,0
Server Full :(,server full negative,0.9149726,1
Midjourney is not able to remove the background in the pro version😂😂😂<br><br>I will try Leonardo😊,midjourney negator able remove background pro versionbri try leonardo,0.002886048,0
"Tried but the server is full, can&#39;t wait to see how it works.",tried server full cant wait see work,0.44250438,0
why are you lying? how can you say it&#39;s free when clearly there are credits needed to use this site. it is a shame.,lying say its free clearly credit needed use site shame,0.49110955,0
Not FREE !!! Title...,free multiexclation title multistop,0.24332206,0
Tried several times to join but the server has always been full. Not seeing enough here to warrant trying over and over when I can stick with Midjourney,tried several time join server always full seeing intensifier warrant trying stick midjourney,0.61699563,1
The craziest thing is that this si an AI talking and it&#39;s barely noticeable! This is getting scary...,craziest thing si ai talking its negator noticeable getting scary multistop,0.6857109,1
"Leonardo is great and has pretty cool features, but I overall get much better results with Midjourney, at least for now. MJ output is just vastly higher quality.",leonardo great pretty cool feature overall get much better result midjourney least mj output intensifier vastly higher quality,0.40812695,0
I&#39;ll take whichever image AI is free,ill take whicher image ai free,0.3746792,0
Server full. Better up your game dude.,server full better game dude,0.8861158,1
trash,trash,0.79979396,1
"This is AI voice over, isn&#39;t it?",ai voice isnt,0.05044389,0
Thank yoooou I used chat gpt to learn the promp structure and created the characters of my story there,thank you used chat gpt learn promp structure created character story,0.89521474,1
"Wait, Mid-Journey is not free?",wait midjourney negator free,0.31351098,0
Its discord is always full :(,discord always full negative,0.715099,1
"Full server sadly, there&#39;s half a million member but only 10% are online",full server sadly theres half million member online,0.7615796,1
server full cant join the discord,server full cant join discord,0.19829038,0
Why I&#39;m assuming that this video&#39;s voice is pure robotic voice 😮??,im assuming videos voice pure robotic voice multiquestion,0.77916634,1
Mid journey way better morans,mid journey intensifier better morans,0.008486371,0
Just finished making my tattooed goth girlfriend 🤘,finished making tattooed goth girlfriend,0.25065538,0
what tool you are using in this video for text to voice?,tool using video text voice,0.6338089,1
Happy to enter the click and type era...,happy enter click type era multistop,0.61194354,1
another lame attempt to uplift the non talented and arrogant grpups of people. Good one,another lame attempt uplift non talented arrogant grps people good one,0.017355833,0
"While I am disinterested in creating beautiful/handsome fantasy faces/portraits, I am singularly interested in further developing my own personal art by running my own, preexisting fine art images through an AI, perhaps Leonardo. So, would I be able to upload my own fine art images in Leonardo and allow it to give me permutations, variations, recombinants, elaborations, refinements, and/or improvements? This is my exclusive interest. IOW, not text to image but Image to Image.",disinterested creating beautifulhandsome fantasy facesporaits singularly interested developing personal art running preexisting fine art image ai perhaps leonardo would able upload fine art image leonardo allow give permutation variation recombinant elaboration refinement andor improvement exclusive interest in other words negator text image image image,0.07749365,0
Nothing compares to MJ,nothing compare mj,0.016414745,0
"Сколько бы не появлялось подобных сайтов, у всех них будет тот самый <b>фатальный</b> недостаток.",bb,0.43253493,0
just use stable diffusion,intensifier use stable diffusion,0.65917456,1
Does the free one refill? Or do I have to pay the plans later,free one refill pay plan later,0.02541298,0
"<a href=""https://www.youtube.com/watch?v=qHdidWEuyVI&amp;t=6m01s"">6:01</a> can anyone tell me where I can find this picture? I would really like it as my wallpaper for my phone",a hrefhtpsnegativew yoube comwatch vqhdweuyviamptmsa anyone tell find picture would intensifier like wallpaper phone,0.43487355,0
nice!,nice,0.4083523,0
or learn how to actually make art - with free tools and tutorials. wouldnt that be cool?,learn actually make art free tool tutorial wouldnt cool,0.5648581,1
can I use images created by it in commercial purposes?,use image created commercial purpose,0.78264123,1
I can’t log in,cant log,0.44909835,0
"wow, the a.i canvas part really did blow my mind ;o",wow canvas part intensifier blow mind o,0.21485084,0
Not easy to use it like midjourney😢,easy use like midjourney,0.28858307,0
"Is the voice also AI generated? Not saying it&#39;s bad, but it&#39;s the way it fades out and sounds somewhat weirdly compressed.",voice also ai generated saying its bad its intensifier fade sound disher weirdly compressed,0.6081766,1
scam and fake,scam fake,0.100174725,0
"Loving the use of copyright material right in the video thumbnail, that&#39;s what AI does, it steals copyright materials, a step much worse than plaguerism.",loving use copyright material right video thumbnail thats ai steal copyright material step much worse plaguerism,0.15281673,0
it shows invite is expired,show invite eposiveired,0.61565185,1
"Am I the only person who thinks the images are cool, but now that literally ANYone can make cool images, who TF cares? It&#39;s like typing a URL and visiting a web page, wow.",person think image cool literally anyone make cool image tf care its like typing url visiting web page wow,0.1272587,0
Too many hoops to jump through to access the generator. I hate being forced into a discord.,many hoop jump access generator negator forced discord,0.07628895,0
Not more AI in art ! Do it with your hands!,intensifier ai art hand,0.1350997,0
Im a happy beta tester of Leonardo and it&#39;s amazing. But MJ still produces high level artworks.,im happy beta tester leonardo its amazing mj still produce high level artwork,0.13646077,0
"All these AI Creation videos and they all say the SAME CLICK Baity thing &quot;Free&quot;  to an extent YES...but every single AI art generator has some type of pay plan...well anything you&#39;d want to anything worthwhile with.  As I do applaud your video and appreciate the information...it&#39;d be much appreciated in the future, if you&#39;d please refrain from &quot;subjective and click baity type titles&quot; for your youtube video.  Thank you and Good day...you have been informed.",ai creation video intensifier say click baity thing quotfrequot disher yes multistop every single ai art generator type pay plan multistop well anything youd want anything worthwhile applaud video appreciate information multistop itd much appreciated future youd please refrain quotsubjective click baity type titlesquot yoube video thank good day multistop informed,0.20418844,0
can i give it a model photo to generate pics like it with different art styles?,give model photo generate pic like different art style,0.6032338,1
how to add our  model picture and creat ai art,add model picture creat ai art,0.0051219286,0
Great recommendation.,great recommendation,0.81420606,1
No stealth,stealth,0.7266522,1
What software do you use to generate your voice overs?,software use generate voice over,0.5136783,1
ai voice?,ai voice,0.07496882,0
are they still putting everyone on a waiting list?,still putting everyone waiting list,0.8649852,1
&quot;free tool&quot;,quotfre tolquot,0.38714373,0
"Thanks, so funny",thanks intensifier funny,0.7090577,1
I recommend Wombo Dream as it is free with no waiting list. they are improving their algorithms ever since they launched and have some really good ones to work with now. I am on Leo&#39;s waiting list so maybe I followed this vid too late.,recommend wombo dream free negator waiting list improving algorithm ever since launched intensifier good one work leos waiting list intensifier maybe followed vid intensifier late,0.06505861,0
