text,preprocessed_text,prediction,sentiment
"stable diffusion is actually the best, especially knowing how many things you can do with it, various extensions and adons, training your own stuff, sadly its super complex, even instalation is really complex, and to use it properly you need some knowledge of python etc, blue willow is emerging thing but for now its very weak ocmpared to midjourney, maybe first versions of it might be comparable, lets hope it improves<br>ill test this leonardo thing soon, looks promising.",stable diffusion actually best intensifier knowing many thing various extension adons training stuff sadly intensifier complex even instation intensifier complex use properly need knowledge python etc blue willow emerging thing intensifier weak ocmpared midjourney maybe first version might comparable let hope improvesbril test leonardo thing soon look promising,0.02437018,0
Leonardo really shines when you want a lot of control on the output. I&#39;ve even used it in conjunction with midjourney bc i find it easier to get good quick results with ordinary text2image there,leonardo intensifier shine want lot control output ive even used conjunction midjourney negative find easier get good quick result ordinary textimage,0.20443712,0
Thank you that is my cat,thank cat,0.47472695,0
cheers,cheer,0.9573828,1
is NSFW allowed?,nsfw allowed,0.4799202,0
This is a copycat of playground,copycat playground,0.92309284,1
already stopped registations .... FAIL,already stopped registions multistop fail,0.9483945,1
Its  not  user  friendly!,negator user friendly,0.66179127,1
Stable Diffusion is only way ... these discord like AI generator are just good ...,stable diffusion intensifier multistop discord like ai generator intensifier good multistop,0.509376,1
"Thanks for the idea. The app really has several usefull interactive features. However, it is often desperately slow. Especially if you use prompt generation.",thanks idea ap intensifier several STRESSED useful interactive feature however often desperately slow especially use prompt generation,0.36805952,0
video sound is also ai generated,video sound also ai generated,0.29015985,0
I think it is batter than Mid,think batter mid,0.016988661,0
Your finished image at the end was almost completely blocked by the video card you placed dead center of the screen.,finished image end intensifier intensifier blocked video card placed dead center screen,0.6066047,1
That thumbnail spider-man suit looks dope!,thumbnail spiderman suit look dope,0.6022715,1
"It really sucks that when you do the final reveal on this video, that you have a pop-up video card completely obscure it. I can&#39;t even get rid of it by going to YouTube settings to eliminate &#39;pop up video cards&quot;",intensifier suck final reveal video STRESSED pop video card intensifier obscure cant even get rid going yoube setting eliminate pop video cardsquot,0.88526237,1
Is there somewhat a image blender as good as the midjourney one. I really love it,disher image blender good midjourney one intensifier love,0.15258938,0
Which ai voice bot did u use for the voice over,ai voice bot you use voice,0.26365003,0
Your text to voice tool,text voice tool,0.17289013,0
"How long will it be free for? Are we able to upload an image and let the AI convert it into a style? Example - my Selfie into an anime style or cartoon style?<br><br>If it can do all these things, then it is better than MidJourney and worth using.",long free able upload image let ai convert style example selfie anime style cartoon style brif intensifier thing better midjourney worth using,0.19158167,0
"Literally every video about any ai thing says it free, but there are only 10 a day. That&#39;s still a lot, but why lie?",literally every video ai thing say free day thats still lot lie,0.15912409,0
"Of you use your own original image as a foundation for image symthesis, who has the copyright?  Leonardo?  You?  Both?  Public?",use original image foundation image symthes copyright leonardo public,0.24920939,0
"Can&#39;t even use MidJourney&#39;s &#39;free images&#39; option. All I ever get is the server&#39;s are overloaded right now, and to try again later bs excuse.",cant even use midjourneys free images option ever get servers overloaded right try later b excuse,0.10055163,0
so nice and gooooood,intensifier nice STRESSED good,0.4135023,0
"Clickbait, not free. Still uses stable diffusion, and stable diffusion is truly free and offline.",clickbait negator free still us stable diffusion stable diffusion intensifier free ofline,0.8240835,1
Free or not?,free,0.3503426,0
This whole ass video being done with AI audio is crazy.,whole as video done ai audio crazy,0.11392932,0
Midjoureney stopped free usage,midjourey stopped free usage,0.45391107,0
Even the voiceover is AI generated. 😅,even voiceover ai generated,0.22271103,0
this stuff is addicting shit,stuff addicting shit,0.22079025,0
"i don&#39;t receive home page , how to be done ?",dont receive home page done,0.9168155,1
Are you Muslim?,muslim,0.15132535,0
Your name is Akram?,name akram,0.39275137,0
Agree ... Midjourney requires subscription right now..,agree multistop midjourney requires subscription right multistop,0.46746707,0
Blue Willow,blue willow,0.8737285,1
Thnk u for the tool sir. But can anyone help me in writing better prompts. I am completely new. So please help me.,thnk you tool sir anyone help writing better prompt intensifier new please help,0.5109509,1
Midnight is not free so  that problem for those who cannot pay for a subscription.😢😢,midnight negator free intensifier problem negator pay subscription,0.35333708,0
awesome video and thank you 🤝🙏,awesome video thank,0.8542848,1
"confusing site,    irritating navigation .",confusing site irritating navigation,0.9422095,1
Midjorney is the Apple of AI art generator.,midjorney apple ai art generator,0.08352608,0
I joined but my homepage not showing,joined homepage negator showing,0.021584183,0
"If I was going to get the paid version, is Midjourney or Leonardo better?<br>(I want to keel all the image generations private)",going get paid version midjourney leonardo better bri want keel intensifier image generation private,0.28407478,0
Are u Vietnamese?,you vietnamese,0.99008244,1
"I feel like this is just a remake from playground ai, but still good stuff tho",feel like intensifier remake playground ai still good stuff tho,0.015459566,0
Midjourney is the best,midjourney best,0.050496034,0
"After generate, can i use that pic for commercial?",generate use pic commercial,0.8300151,1
"it,says your email is already rejestered.wht can i do",say email already STRESSED rested wht,0.31750396,0
"😥I am not getting free time to use mid journey and AI platforms, work load is more and MBA exams are upcoming, I am not even getting time to upload videos on my channel",i negator getting free time use mid journey ai platform work load intensifier mba exam upcoming negator even getting time upload video channel,0.34995097,0
Not even close,even close,0.26249918,0
Is there any site to create vedios for free from images and mp3 ?,site create vedios free image mp,0.24654388,0
Not bad!,bad,0.6832463,1
It&#39;s fun but not as good as Midjourney,its fun negator good midjourney,0.39006343,0
Can we upload a image in this medium??,upload image medium multiquestion,0.69109327,1
Is this Video Ai made? Why does your voice sound robotic,video ai made voice sound robotic,0.52652264,1
I can&#39;t find thay form link - aaahhh,cant find thay form link STRESSED aah,0.3522841,0
How can i up image my  face to creat photograp,image face creat phograp,0.97773856,1
"Creating short stories with midjourney <a href=""https://youtu.be/UnsfUF46NAU"">https://youtu.be/UnsfUF46NAU</a>",creating short story midjourney a hrefhtpsnegativeyou beunsfnauhtpsnegativeyou beunsfna,0.48555794,0
Can you help me with the tool you produced the voice the video?,help tool produced voice video,0.97672105,1
This is awesome. Thanks!,awesome thanks,0.6310299,1
Can I use this to edit personal photos?,use edit personal photo,0.63426906,1
"Total rubbish program, way to hard how you supposed to come up with such stupid long commands? it put lots of things in not realistic. thumbs down do not get",total rubbish program intensifier hard supposed come intensifier stupid long command put lot thing negator realistic thumb negator get,0.9181621,1
after clicking I am whitelisted i asks me for password<br>and where should I get that?<br>nothing has been received via email or in discord,clicking whitelisted asks paswordbrand get brnothing received via email discord,0.22240008,0
BlueWillow seems to be the best of the free tools I have used,bluewilow seems best free tool used,0.27834922,0
Bing’s image generator is pretty good and there’s no limit to how many images you can generate,bings image generator pretty good theres negator limit many image generate,0.22261958,0
"The thing about Midjourney is that you generate 100 images and pick the 10 best. With Stable Diffusion you have to generate 100 images with 100 different variables to have 10, that are possibly worth it...",thing midjourney generate image pick best stable diffusion generate image different variable possibly worth multistop,0.73030233,1
thanks man you just earned my sub keep it up : ),thanks man intensifier earned sub keep,0.9735052,1
Bro can we edit the avatar or our photo to generate ultra realistic profilr pictures,bro edit avatar photo generate intensifier realistic profilr picture,0.9224615,1
I don&#39;t understand why all these services require a Discord login ..,dont understand intensifier service require discord login multistop,0.284713,0
Can I use this ai&#39;s art for print on demand? are the usage rights commercial?,use ais art print demand usage right commercial,0.46162865,0
Are these images copyright free,image copyright free,0.07296542,0
"I like the Bing Image Creator, it&#39;s free and it generates good results",like bing image creator its free generates good result,0.22643828,0
this is sick... i want one... thanks man!,sick multistop want one multistop thanks man,0.77718776,1
this is super amazing,intensifier amazing,0.97315866,1
Is it just me or his voice sound ai generated as well...,intensifier voice sound ai generated well multistop,0.2088011,0
"yooo this thing is GOOD!, i made it make some unique hypercar designs, they look super clean brov!",yo thing good made make unique hypercar design look intensifier clean brov,0.6489822,1
Can I be able to create consistent character?,able create consistent character,0.035349786,0
Amazing!!!,amazing multiexclation,0.8629828,1
Hmm you don&#39;t say anything about the waiting,STRESSED hm dont say anything waiting,0.35693175,0
"100 free tokens a day, costs 250+ to generate all of the example images.<br>Not exactly free when you can only use 3 generates a week.",free token day cost generate intensifier example image brnot exactly free use generates week,0.49477264,0
awesome this has been helpful and love it for drafting,awesome helpful love drafting,0.18887235,0
It&#39;s free for only 1month?,its free month,0.1435876,0
I <b>love</b> the black and blue spiderman in the thumbnail.,bloveb black blue spiderman thumbnail,0.56842226,1
midjourney sucks actually,midjourney suck actually,0.30943483,0
"Though Leonardo is a great program it is not free, if you wish to generate more than 200 tokens worth of images and upscales you need to upgrade, the only true free A I programs at the moment are Automatic 1111 and Invoke, with these programs you can have hundreds of different models to use as well",though leonardo great program negator free wish generate intensifier token worth image upscales need upgrade true free program moment automatic invoke program hundred different model use well,0.2513217,0
Cool? Yes.<br>Nice output? Yes?<br>Better than Midjourney? NOT EVEN CLOSE!!<br>The best part is the FREE (for now..),cool yes brnice output yes brbeter midjourney even close multiexclation brthe best part free for multistop,0.36614928,0
"dude, damm thanks a lot for sharing this with us &quot;Dear kind stranger, I just wanted to express my gratitude for your act of kindness. Your small gesture has made a big difference in my day, and it&#39;s heartwarming to know that there are still good people in the world. Thank you for brightening my day.&quot;<br>chatGPT",dude STRESSED dam thanks lot sharing you quotdear disher stranger intensifier wanted eposives gratitude act kindness small gesture made big difference day its heartwarming know still good people world thank brightening day quotbrchatgpt,0.6705397,1
How do I let someone get into my computer easy without realizing?,let someone get computer easy without realizing,0.1594538,0
can&#39;t join discord. link is invalid :/,cant join discord link invalid negative,0.06781953,0
clickbait ! just an advertising for leonardo,clickbait intensifier advertising leonardo,0.47396904,0
Not Free 😢,free,0.3503426,0
"to be honest, the only advantage for Leonardo is that it&#39;s free",honest advantage leonardo its free,0.4604194,0
Are images generated ok to use commercially?,image generated ok use commercially,0.38522616,0
cant we upload our own image and take variations of it ?,cant upload image take variation,0.925638,1
Great video! I loved how engaging and informative it was,great video loved engaging informative,0.6909385,1
Please compare the same keywords on midjourney and leonardo to see the comparison,please compare keywords midjourney leonardo see comparison,0.07186685,0
It&#39;s not that good.,its negator good,0.4064361,0
omg leonardo so powerful i like it,oh my god leonardo intensifier powerful like,0.78475535,1
I lack prompts,lack prompt,0.6765065,1
"i was so amazed ,clapped my hands when it merged two images ,it was cool",intensifier amazed clapped hand merged two image cool,0.35570303,0
blue willow feels like MJ version 3. fingers and hands often get butchered. but it&#39;s understandable,blue willow feel like mj version finger hand often get butchered its understandable,0.47853243,0
How do i buy?,buy,0.49292004,0
Can you do a video on how to get consistent characters? Like if I want the character to look similar but doing different things for a storybook.,video get consistent character like want character look similar different thing storybook,0.9130477,1
i did not find the home page can anyone help me out? where we can open,negator find home page anyone help open,0.79614896,1
and stop using chat gpt :)))) notion ai is better ;),stop using chat gpt positive notion ai better,0.0037278119,0
"uf, private generation is blocked in the free option, thats a dealbreaker for me. also do we save the tokens if we dont use them all or its just 150 always?",uf private generation blocked free option thats dealbreaker also save token dont use intensifier intensifier always,0.64989877,1
Do we get tokens daily ?,get token daily,0.40935257,0
great,great,0.70779085,1
And can you use the images in your products for sale?,use image product sale,0.5225733,1
blue willow is the best alternative for mj. I don&#39;t know if they are from the same company because the user interface is too identical.,blue willow best alternative mj dont know company user interface intensifier identical,0.47638005,0
Not even in the same ballpark when comparing to Midjourney....Leonardo is great for creating clip art and doodling.,even ballpark comparing midjourney multistop leonardo great creating clip art doodling,0.34402785,0
Midjourney is much better than this shit ..,midjourney much better shit multistop,0.016585313,0
"Midjourney is better if you want to creates logos with subtitles, leonardo ai has problems with subtitles, he is writing different things.",midjourney better want creates logo subtitle leonardo ai problem subtitle writing different thing,0.08395225,0
"leonardo is great once you mastered it, but when you&#39;re still learning it&#39;s so hard to use it. the results often way off that what you imagine.<br>i&#39;m still having hard time using it.",leonardo great mastered youre still learning its intensifier hard use result often intensifier imagine brim still hard time using,0.2742115,0
some ai.images scare me fr,ai image scare fr,0.030463276,0
Leonardo is good and very user friendly as well. But  I think Blue Willow is going to be the Midjourney killer,leonardo good intensifier user friendly well think blue willow going midjourney killer,0.8043655,1
You need to get whitelisted first. Before you can use this AI,need get whitelisted first use ai,0.19167434,0
its only  free 250 token? and then have to upgrade???,free token upgrade multiquestion,0.61755735,1
this is Ai Voice 😅😅,ai voice,0.07496882,0
Which text to speech software or website you are using please answer it.,text speech software website using please answer,0.03298424,0
"<a href=""https://www.youtube.com/shorts/y5AAMkgUcwI"">https://www.youtube.com/shorts/y5AAMkgUcwI</a>",a hrefhtpsnegativew yoube comshortsyamkgucwihtpsnegativew yoube comshortsyamkgucwia,0.2925334,0
Mid  Journey still better,mid journey still better,0.024231704,0
I got  access to this a few weeks back.  I  really like this tool .,got access week back intensifier like tool,0.34037837,0
New sub...thank you so much!,new sub multistop thank intensifier much,0.15057038,0
"Nah, not open - not anywhere good",nah negator open negator anywhere good,0.6874813,1
Is this your voice?,voice,0.6028189,1
"<a href=""https://youtu.be/uHHn4MaRcoM"">https://youtu.be/uHHn4MaRcoM</a>",a hrefhtpsnegativeyou beuhnmarcomhtpsnegativeyou beuhnmarcoma,0.11804724,0
"I’ve been using it for a month and it a lot easier to use. 150 credits a day. It doesn’t have a connection to Discord, which makes it easier.",ive using month lot easier use credit day doesnt connection discord make easier,0.7741379,1
Purely paid video 💩,purely paid video,0.065424435,0
"It&#39;s nowhere near as good as midjourney, I speak from experience.",its negator near good midjourney speak eposiverience,0.49625644,0
Bing Image Creator... try it! for some things it is very good. It can potentially fly...,bing image creator multistop try thing intensifier good potentially fly multistop,0.0009624542,0
please update what is the latest site to make pictures of Ai and which one is better than leonardo ai🙏,please update latest site make picture ai one better leonardo ai,0.14638624,0
Will the token be deducted for each variable or just to render an image. How the tokens are calculated? Your Input will be invaluable.,token deducted variable intensifier render image token calculated input invaluable,0.46479785,0
How d o I get myself whitelist?,get whitelist,0.3005387,0
actually the biggest upside is the ability to train your own model and use other users models,actually biggest upside ability train model use user model,0.42807543,0
How many images can be created in trial mode?,many image created trial mode,0.30954802,0
Can you create a video of how to enhance pictures with two people in it like in lensa app. Major knee makes it very difficult to do that. I wanted to edit a cosplay,create video enhance picture two people like lensa ap major knee make intensifier difficult wanted edit cosplay,0.7384187,1
Only midjourney can generate my photos with AI... Is there any alternative like midjourney? I m finding an AI which can generate with my picture... Plss tell me!,midjourney generate photo ai multistop alternative like midjourney finding ai generate picture multistop pls tell,0.2966918,0
"Discord interface is a nightmare to navigate due to a plethora of unnecessary rules, Invitation video has no sound (my computer is fine, thank you), and &quot;introductions&quot; channel does not show under &quot;General&quot;.  Good luck because your patience will be tested to the limit.",discord interface nightmare navigate due plethora unnecessary rule invitation video negator sound my computer fine thank you quotintroductionsquot channel negator show quotgeralquot good luck patience tested limit,0.5319234,1
"There&#39;s another awesome free unlimited (owner is unsure if forever*) text-to-image generator which is also an image-to-image. What makes it really different is that it can keep creating each request about every second, maybe because it is not reinventing the proverbial wheel... only finalizing instead like a wave function collapse algorithm of 8x8s.",theres another awesome free unlimited owner unsure forever textoimage generator also imagetoimage make intensifier different keep creating request every second maybe negator reinventing proverbial wheel multistop finalizing instead like wave function collapse algorithm xs,0.0067536817,0
You&#39;re awesome.,youre awesome,0.94751203,1
Can I use free,use free,0.31641284,0
